Incident energy 
Incident energy 
Incident energy σ(E)
1.0E-5 31399.17
1.0625E-5 30461.59
1.125E-5 29603.26
1.1875E-5 28813.61
1.25E-5 28083.96
1.375E-5 26776.85
1.5E-5 25636.74
1.625E-5 24630.85
1.75E-5 23734.74
1.875E-5 22929.81
2.0E-5 22201.57
2.145547E-5 21435.17
2.291094E-5 20743.0
2.436641E-5 20113.81
2.582188E-5 19538.6
2.727735E-5 19010.06
2.873282E-5 18522.2
3.164375E-5 17649.48
3.455469E-5 16889.5
3.746563E-5 16219.9
4.037657E-5 15624.07
4.32875E-5 15089.4
4.664375E-5 14536.17
5.0E-5 14039.61
5.3125E-5 13620.23
5.625E-5 13236.3
5.9375E-5 12883.09
6.25E-5 12556.7
6.875E-5 11972.01
7.5E-5 11462.0
8.125E-5 11012.03
8.75E-5 10611.16
9.375E-5 10251.06
1.0E-4 9925.266
1.0625E-4 9628.65
1.125E-4 9357.101
1.1875E-4 9107.276
1.25E-4 8876.423
1.375E-4 8462.858
1.5E-4 8102.11
1.625E-4 7783.814
1.75E-4 7500.245
1.875E-4 7245.514
2.0E-4 7015.04
2.1875E-4 6707.089
2.375E-4 6436.344
2.5625E-4 6195.866
2.75E-4 5980.404
2.9375E-4 5785.899
3.125E-4 5609.158
3.3125E-4 5447.631
3.5E-4 5299.251
3.875E-4 5035.452
4.25E-4 4807.35
4.625E-4 4607.554
5.0E-4 4430.65
5.3125E-4 4297.753
5.625E-4 4176.076
5.9375E-4 4064.121
6.25E-4 3960.659
6.875E-4 3775.282
7.5E-4 3613.55
8.125E-4 3470.825
8.75E-4 3343.649
9.375E-4 3229.386
0.001 3125.987
0.0010625 3031.83
0.001125 2945.613
0.0011875 2866.277
0.00125 2792.952
0.001375 2661.555
0.0015 2546.894
0.001625 2445.686
0.00175 2355.486
0.001875 2274.43
0.002 2201.066
0.0021875 2103.003
0.002375 2016.751
0.0025625 1940.114
0.00275 1871.427
0.0029375 1809.405
0.003125 1753.031
0.0033125 1701.494
0.0035 1654.137
0.003875 1569.901
0.00425 1497.013
0.004625 1433.137
0.005 1376.567
0.0053125 1334.071
0.005625 1295.168
0.0059375 1259.381
0.00625 1226.313
0.006875 1167.065
0.0075 1115.366
0.008125 1069.736
0.00875 1029.082
0.009375 992.5711
0.01 959.5506
0.010625 929.5031
0.01125 902.0121
0.011875 876.7378
0.0125 853.3984
0.013125 831.7566
0.01375 811.6102
0.015 775.1411
0.01625 742.9091
0.0175 714.1364
0.01875 688.2408
0.02 664.7686
0.021325 642.1331
0.02265 621.4688
0.023975 602.4938
0.0253 584.9777
0.02665079 568.4258
0.02800157 553.0284
0.02935235 538.6514
